學號,不及格學分數,學年學期,修習學分總數,示警類別
6d0fb5a61a5943e6c82e3762adbefeed45d77d5b3d73e92067d31f0859ec3dc6,11,1062,12,1/2不及格
5fcf656414a8c77baa4c171bc155a6575aa57294aca2d73fc68e998e92151bed,12,1062,22,1/2不及格
d25a089bb2f201b0559efc8e6df0d360cd27118c22ea807ef36eab993a658f2c,"9 ",1062,16,1/2不及格但是為特殊身分
915c7007d63b969f2abd1e3a68d3b808379f16c4715d9ea53116e78333c45613,11,1062,18,1/2不及格
4bff72779de3b5c36a1927363312d2c2ce65182be830e2c315646aa4e1f81088,"8 ",1062,16,1/2不及格
c3b20ab071e20290767d69989dd7eb8afefd1c9704b96c66cebb69c8111bf353,"9 ",1062,16,1/2不及格
0f8384a8d5fc6c1274d21dd1b6c9c16e7a9d8b91b9e8e759c5206559cb101d2d,13,1062,23,1/2不及格
a9adb3ca19bf8a61ce1918a4e78cb85c429c8cc7302464bca0e0babfe169e3ff,10,1062,20,1/2不及格但是為特殊身分
fe773a9684e02832eae96e2585cffc2fb1c79624f1283e34f91ff3d0864c8dae,15,1062,23,1/2不及格
9322f4c393c2af5fda5f9daec791f7337d4f1b55ca6384129df39c11ddc6d0b9,18,1062,23,1/2不及格
2cb78db221a3ace8693e96c12cebcab33f101f43b43870983be9295b89c20c37,12,1062,21,1/2不及格
23db2ffe482147cd964962d21c1cd8e17ddce0841e63f4a35ca677d4da44cd71,15,1062,19,1/2不及格
402bf5bf62f1d25b3b2693c9856708feace9ec33b29368ee0605bef4de5cb04c,12,1062,19,1/2不及格但是為特殊身分
0ce3f1f8a05487c7a9abcb30e3d676bc35a890f636a63dd12fc728049013ba54,14,1062,14,1/2不及格
d6cb2bb9d189cf85f0c500a5d6dae659507ba1c9af1485c5c925d59cd15a40d5,15,1062,23,1/2不及格但是為特殊身分
3a30c2e74d96c9e40b3a82357c27bc00660aba101b5c0f3731771f51e0ed808a,15,1062,21,1/2不及格
302e5f4fbbc701b494e4b4a0080b12a502843d7d5d066e9f32af8024becff637,25,1062,25,1/2不及格
