學號,班一般名次,班一般人數,平均成績,鎖定排名,系所名稱,系一般名次,系一般人數,年級班別,組別,組一般名次,成績是否全到,班名次,班人數,系名次,系人數,組名次,組人數,學年
f3883cab978e6e5c0d0694cf480b79fc151634c8b52b6d18a08a79de5c6278bc,"31 ","57 ",81.98,未鎖定,英美語文學系,"31 ","57 ",4年級,,,成績全到,"28 ","54 ","28 ","54 ",,,103
5789dca793eead75f31de40fea74dcbc3956e014c7180567696f1dd9a3a50c1f,"10 ","57 ",86.03,未鎖定,英美語文學系,"10 ","57 ",4年級,,,成績全到,"10 ","54 ","10 ","54 ",,,103
e5a6ee621b132bb84bad761f01ce752892521815ba831f3bf6eb694eda28ee46,"17 ","57 ",84.79,未鎖定,英美語文學系,"17 ","57 ",4年級,,,成績全到,"16 ","54 ","16 ","54 ",,,103
aecf6e34cb8835729fed7d633de888a5b6a1295838c8c9cfe6d51d5b15053005,"9  ","57 ",86.18,未鎖定,英美語文學系,"9  ","57 ",4年級,,,成績全到,"9  ","54 ","9  ","54 ",,,103
6d3793cee964361790b39ed9a9078b1ec34123fbf2119586541528d252a6cd07,"55 ","57 ",74.64,未鎖定,英美語文學系,"55 ","57 ",4年級,,,成績全到,"52 ","54 ","52 ","54 ",,,103
c7b1bdf0688836d583997e9032bb40cfa8bbe0150cc705f89a52cf2c8ee0a913,"52 ","57 ",76.14,未鎖定,英美語文學系,"52 ","57 ",4年級,,,成績全到,"49 ","54 ","49 ","54 ",,,103
0feef02a1bb18f7042e67e57ee060f1677b241e59e37e8fc49b7534d4616cf1c,"14 ","57 ",85.19,未鎖定,英美語文學系,"14 ","57 ",4年級,,,成績全到,"14 ","54 ","14 ","54 ",,,103
3428da44c1ec039d96881dcaa9a71d8da953e45ced0fc0b70faafdc052a3c59e,"33 ","57 ",81.80,未鎖定,英美語文學系,"33 ","57 ",4年級,,,成績全到,"30 ","54 ","30 ","54 ",,,103
4f564590f661187b254773911af7dd4277e4aa514812cff0781d740a04d9041c,"51 ","57 ",76.45,未鎖定,英美語文學系,"51 ","57 ",4年級,,,成績全到,"48 ","54 ","48 ","54 ",,,103
1982a65a9a7945b41afa330a3e2b7161511e269d587165f3c4734febab6b9856,"47 ","57 ",77.74,未鎖定,英美語文學系,"47 ","57 ",4年級,,,成績全到,"44 ","54 ","44 ","54 ",,,103
ee0f519fd4911c04192c8378047d54af9e6039ddd36925c8c4414b8849f0c28e,"49 ","57 ",77.46,未鎖定,英美語文學系,"49 ","57 ",4年級,,,成績全到,"46 ","54 ","46 ","54 ",,,103
cd0810fede4fa5ff9707f81085f059d58d2b6cf27ec6886bd34aa12f073ebabb,"41 ","57 ",79.08,未鎖定,英美語文學系,"41 ","57 ",4年級,,,成績全到,"38 ","54 ","38 ","54 ",,,103
ee4718b9aad6fd4ee921a8e2aba22147b5343f9313d252c885e7cd3ccea20ae3,"57 ","57 ",71.77,未鎖定,英美語文學系,"57 ","57 ",4年級,,,成績全到,"54 ","54 ","54 ","54 ",,,103
3a8199855ecebc5791e99d89c8413c34ef4d65c249e53dd566ce88a2e6603eb5,"7  ","57 ",86.37,未鎖定,英美語文學系,"7  ","57 ",4年級,,,成績全到,"7  ","54 ","7  ","54 ",,,103
4dd20cd3444cd32a3bcfde5656d8c8aa7c086f69b5d41ccf54b9237024584397,"46 ","57 ",77.88,未鎖定,英美語文學系,"46 ","57 ",4年級,,,成績全到,"43 ","54 ","43 ","54 ",,,103
10997e54a31ab0a844897d939c76cd54b0a3492cef97af2f26c5472748f942c6,"45 ","57 ",78.56,未鎖定,英美語文學系,"45 ","57 ",4年級,,,成績全到,"42 ","54 ","42 ","54 ",,,103
358938bb4e8ade3e37b618d61d3895695fab5859401c345cc43ae7c007d571fb,"54 ","57 ",74.76,未鎖定,英美語文學系,"54 ","57 ",4年級,,,成績全到,"51 ","54 ","51 ","54 ",,,103
8d7cde189cbdaaa2056b3cb46ff49a104ec9a10130fb5c38bc7ab2b4e8e743c7,"48 ","57 ",77.49,未鎖定,英美語文學系,"48 ","57 ",4年級,,,成績全到,"45 ","54 ","45 ","54 ",,,103
3c813f5d8534a0aa30ae2da73d40b912cb6c61fcec93ea848ece53343a712886,"42 ","57 ",78.90,未鎖定,英美語文學系,"42 ","57 ",4年級,,,成績全到,"39 ","54 ","39 ","54 ",,,103
d5b588d24fd7ae99578aa06c1d1cfbff8921048bdeb42e82f3f577eb498df703,"21 ","57 ",84.15,未鎖定,英美語文學系,"21 ","57 ",4年級,,,成績全到,,,,,,,103
fecb4457d81f70226ce644f9eaebf3f428383869fa6b473b942d88365cad2c46,"24 ","57 ",83.37,未鎖定,英美語文學系,"24 ","57 ",4年級,,,部分未到,,,,,,,103
d46f092459d076372a3fc2562c9225cc86463e6dfe5f1ef3fd7a3817fe0cc67a,"16 ","57 ",84.84,未鎖定,英美語文學系,"16 ","57 ",4年級,,,部分未到,,,,,,,103
fd0178ff4e924fabda78838f48de65c5e786567b7ffc5e32afd3d18be711c072,"43 ","57 ",78.66,未鎖定,英美語文學系,"43 ","57 ",4年級,,,成績全到,"40 ","54 ","40 ","54 ",,,103
a5fe092e24a43bb43db59ec73a0d35da4bcffd4fd6108c2d3d8445ea871b80f3,"1  ","57 ",89.98,未鎖定,英美語文學系,"1  ","57 ",4年級,,,成績全到,"1  ","54 ","1  ","54 ",,,103
1442e544d3329cbec06fe6d7eab8ea2d5f1d530c8bee4de6f6b33ca435856e2d,"5  ","57 ",88.20,未鎖定,英美語文學系,"5  ","57 ",4年級,,,成績全到,"5  ","54 ","5  ","54 ",,,103
d10a0241cb863e942e868c8bc0928fb701e079fbdd1b08955bd1c3c8c003338a,"44 ","57 ",78.58,未鎖定,英美語文學系,"44 ","57 ",4年級,,,成績全到,"41 ","54 ","41 ","54 ",,,103
e75ae160cb70c2a15c7b1e842b87255f7a009387856d0bb94a4f1d0bd8d46422,"22 ","57 ",84.04,未鎖定,英美語文學系,"22 ","57 ",4年級,,,成績全到,"20 ","54 ","20 ","54 ",,,103
00b9e5b832f5b4dcb889198c5f4a582e95f868b6ce09dd874c2f3e41e336e24b,"50 ","57 ",77.23,未鎖定,英美語文學系,"50 ","57 ",4年級,,,成績全到,"47 ","54 ","47 ","54 ",,,103
793765e1c5ba420e1ae0d6fde51c5fff1db9e6284d9d4136365b14513ce8142b,"19 ","57 ",84.32,未鎖定,英美語文學系,"19 ","57 ",4年級,,,成績全到,"18 ","54 ","18 ","54 ",,,103
